Latitude,Longitude
49.8759,8.66212
49.8758,8.66216
49.8752,8.6626
49.8751,8.66268
49.875,8.66274
49.8748,8.66281
49.8746,8.66284
49.8745,8.66284
49.9203,8.60696
49.9201,8.60714
49.8967,8.62056
49.8968,8.62056
49.897,8.62055
49.8971,8.62052
49.8972,8.62047
49.8973,8.62042
49.8974,8.62033
49.8978,8.61999
49.8835,8.6494
49.8835,8.64911
49.8833,8.64872
49.8832,8.64841
49.8831,8.64816
49.883,8.64788
49.8829,8.64761
49.8829,8.64752
49.8828,8.64742
49.8827,8.64721
49.8825,8.64685
49.8824,8.64657
49.8841,8.65294
49.8841,8.6532
49.8841,8.65375
49.884,8.65483
49.884,8.65505
49.884,8.65521
49.8839,8.65599
49.8838,8.65635
49.8835,8.65739
49.8835,8.65758
49.8898,8.61701
49.8897,8.61708
49.8168,8.64426
49.8166,8.64429
49.8166,8.64429
49.8163,8.64435
49.8159,8.64443
49.8156,8.6445
49.8153,8.64456
49.8151,8.64461
49.815,8.64463
49.8149,8.64471
49.8148,8.64484
49.8147,8.64496
49.8146,8.64508
49.8146,8.6452
49.8146,8.64542
49.8145,8.64558
49.8145,8.64567
49.8145,8.64576
49.8684,8.68465
49.8684,8.68472
49.8684,8.68479
49.8683,8.68489
49.8683,8.68498
49.8683,8.68505
49.8683,8.68514
49.8196,8.69767
49.8195,8.69748
49.8195,8.69748
49.8194,8.69729
49.8193,8.6972
49.8193,8.6971
49.8192,8.69698
49.8192,8.69686
49.8192,8.6967
49.8192,8.69657
49.8192,8.6964
49.8192,8.69634
49.8192,8.69606
49.8192,8.69575
49.8194,8.69477
49.8196,8.69336
49.8196,8.69299
49.8844,8.65144
49.8843,8.65137
49.8843,8.65129
49.8842,8.65125
49.8841,8.65119
49.8841,8.65108
49.8839,8.65086
49.8645,8.64391
49.8645,8.64398
49.8646,8.64403
49.8654,8.64676
49.8655,8.64663
49.8655,8.64648
49.8655,8.64632
49.8654,8.64772
49.8655,8.64886
49.8656,8.64895
49.8654,8.64772
49.8654,8.64742
49.8654,8.64729
49.8654,8.64724
49.8654,8.64712
49.8654,8.64704
49.8745,8.66284
49.8743,8.66281
49.8741,8.66279
49.8737,8.66268
49.8631,8.64437
49.8632,8.64435
49.8636,8.64423
49.8637,8.64421
49.8638,8.64418
49.8639,8.64409
49.8645,8.64391
49.8646,8.64387
49.8649,8.64379
49.8693,8.66166
49.8693,8.66182
49.8693,8.66194
49.8697,8.65671
49.8698,8.65678
49.8699,8.6568
49.8699,8.65681
49.8699,8.65683
49.8701,8.65686
49.8828,8.65125
49.8837,8.6515
49.8837,8.65151
49.8839,8.65157
49.884,8.65158
49.8757,8.64781
49.8757,8.648
49.8757,8.64806
49.8757,8.64824
49.876,8.64981
49.876,8.64961
49.8759,8.64939
49.8759,8.64888
49.8758,8.64834
49.8758,8.64826
49.8758,8.64818
49.8757,8.64803
49.8757,8.64798
49.8757,8.64778
49.8757,8.64778
49.8756,8.64756
49.8756,8.6475
49.8756,8.64703
49.8755,8.64684
49.8755,8.64655
49.8754,8.64604
49.8753,8.64523
49.8753,8.64497
49.8753,8.64485
49.8753,8.64485
49.8752,8.64441
49.8752,8.64423
49.8752,8.64396
49.8752,8.64369
49.8751,8.64362
49.8751,8.64343
49.8751,8.64331
49.8751,8.6431
49.875,8.64295
49.8749,8.64217
49.8748,8.6415
49.8748,8.64132
49.8748,8.64121
49.8752,8.64488
49.8754,8.64605
49.8755,8.64654
49.8755,8.64685
49.8755,8.64704
49.8756,8.64722
49.8756,8.64731
49.8756,8.64752
49.8756,8.64757
49.8757,8.64781
49.8655,8.64632
49.8655,8.64624
49.8655,8.64605
49.8655,8.64585
49.8655,8.64573
49.8654,8.64566
49.8654,8.6456
49.8533,8.64664
49.8533,8.64667
49.8533,8.64678
49.8534,8.64934
49.8534,8.64834
49.853,8.64653
49.8524,8.64651
49.8521,8.64649
49.8819,8.64609
49.882,8.64624
49.8822,8.64655
49.8824,8.64687
49.8825,8.64701
49.887,8.62179
49.8869,8.62197
49.8871,8.62153
49.887,8.62179
49.8606,8.64419
49.8605,8.64441
49.8604,8.64457
49.8604,8.64461
49.8655,8.69939
49.8655,8.69978
49.8654,8.70039
49.8654,8.70106
49.8654,8.70187
49.8653,8.70312
49.8156,8.63088
49.8156,8.63066
49.8157,8.63056
49.8523,8.6703
49.8524,8.67058
49.8524,8.67064
49.8198,8.69214
49.8198,8.69149
49.82,8.69025
49.835,8.64524
49.8333,8.64511
49.8322,8.64503
49.83,8.64487
49.8291,8.64482
49.8276,8.64471
49.8262,8.64461
49.8254,8.64457
49.8667,8.65696
49.8667,8.6574
49.867,8.6593
49.867,8.6594
49.8671,8.66
49.8671,8.66057
49.8672,8.66082
49.8673,8.66191
49.8203,8.64414
49.8199,8.64414
49.8193,8.64411
49.8191,8.64409
49.8188,8.6441
49.8187,8.64412
49.8186,8.64412
49.8183,8.6442
49.818,8.6443
49.8178,8.64436
49.8178,8.64437
49.8178,8.64437
49.8161,8.63464
49.8161,8.63433
49.816,8.63413
49.8159,8.63316
49.8158,8.63197
49.8156,8.63088
49.893,8.66318
49.8931,8.66336
49.8931,8.66366
49.8932,8.66404
49.8933,8.66576
49.8933,8.66583
49.8936,8.66885
49.8937,8.67024
49.8937,8.6705
49.8937,8.67076
49.8937,8.67103
49.8937,8.67131
49.8937,8.67156
49.8936,8.67182
49.8936,8.67198
49.8748,8.64121
49.8748,8.64121
49.8749,8.64118
49.8749,8.64117
49.875,8.64112
49.8752,8.64106
49.8754,8.64095
49.8759,8.64072
49.876,8.64064
49.8746,8.65657
49.8746,8.65639
49.8745,8.6562
49.8745,8.65612
49.8745,8.65604
49.8745,8.65584
49.8664,8.63134
49.8663,8.63134
49.8662,8.63137
49.8661,8.63139
49.8661,8.63141
49.866,8.63145
49.8657,8.63155
49.8654,8.63165
49.8649,8.63179
49.8644,8.63197
49.8642,8.63206
49.8635,8.63244
49.8635,8.63243
49.8636,8.63238
49.8952,8.6813
49.8952,8.68132
49.8952,8.68147
49.8952,8.68153
49.8954,8.68251
49.8955,8.68364
49.8956,8.68419
49.8958,8.68564
49.8958,8.68589
49.8958,8.6862
49.873,8.66266
49.8731,8.66267
49.8733,8.66267
49.8735,8.66269
49.8736,8.66269
49.8737,8.66268
49.8737,8.66268
49.8736,8.66264
49.8735,8.6626
49.8731,8.66253
49.8731,8.66252
49.8681,8.63395
49.868,8.63399
49.8679,8.63407
49.8677,8.63418
49.8714,8.64163
49.8713,8.64167
49.8713,8.64168
49.87,8.64209
49.884,8.6516
